date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:44:02	330/330	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Nov%202025%2009:44:02%20GMT	http://localhost/swole	C:/My%20Web%20Sites/swole/localhost/swole.0.delayed	(from )
09:44:02	295/295	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Nov%202025%2009:44:02%20GMT	http://localhost/robots.txt		(from )
09:44:05	85684/85684	---MC-	200	added ('OK')	text/html	date:Fri,%2014%20Nov%202025%2009:44:02%20GMT	http://localhost/swole/	C:/My%20Web%20Sites/swole/localhost/swole/index.html	(from )
09:44:05	2503/2503	---M--	200	added ('OK')	text/css	etag:%229c7-639df637eab80%22	http://localhost/swole/wp-content/themes/twentytwentyfive/style.css?ver=1.3	C:/My%20Web%20Sites/swole/localhost/swole/wp-content/themes/twentytwentyfive/style4e44.css	(from http://localhost/swole/)
09:44:06	53614/53614	---M--	200	added ('OK')	text/css	etag:%22d16e-641aa708ea4ec%22	http://localhost/swole/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.32.3	C:/My%20Web%20Sites/swole/localhost/swole/wp-content/plugins/elementor/assets/css/frontend.min8e60.css	(from http://localhost/swole/)
09:44:07	1646/1646	---M--	200	added ('OK')	application/rss+xml	etag:%22ff05473825c2d524c44428597b75a654%22	http://localhost/swole/feed/	C:/My%20Web%20Sites/swole/localhost/swole/feed/index.html	(from http://localhost/swole/)
09:44:07	1254/1254	---M--	200	added ('OK')	text/css	etag:%224e6-641cf12dc9c12%22	http://localhost/swole/wp-content/uploads/elementor/css/post-7.css?ver=1761207490	C:/My%20Web%20Sites/swole/localhost/swole/wp-content/uploads/elementor/css/post-701c9.css	(from http://localhost/swole/)
09:44:07	19787/19787	---M--	200	added ('OK')	text/css	etag:%224d4b-641aa73332c7f%22	http://localhost/swole/wp-content/plugins/elementor-pro/assets/css/widget-mega-menu.min.css?ver=3.32.2	C:/My%20Web%20Sites/swole/localhost/swole/wp-content/plugins/elementor-pro/assets/css/widget-mega-menu.min20c8.css	(from http://localhost/swole/)
09:44:07	1621/1621	---M--	200	added ('OK')	application/rss+xml	etag:%22ff05473825c2d524c44428597b75a654%22	http://localhost/swole/comments/feed/	C:/My%20Web%20Sites/swole/localhost/swole/comments/feed/index.html	(from http://localhost/swole/)
09:44:07	600/600	---M--	200	added ('OK')	text/css	etag:%22258-641aa70914f5e%22	http://localhost/swole/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.32.3	C:/My%20Web%20Sites/swole/localhost/swole/wp-content/plugins/elementor/assets/css/widget-heading.min8e60.css	(from http://localhost/swole/)
09:44:07	162/162	---M--	200	added ('OK')	text/css	etag:%22a2-641aa7334a3f3%22	http://localhost/swole/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min.css?ver=3.32.2	C:/My%20Web%20Sites/swole/localhost/swole/wp-content/plugins/elementor-pro/assets/css/modules/sticky.min20c8.css	(from http://localhost/swole/)
09:44:08	137/137	---M--	200	added ('OK')	text/css	etag:%2289-641aa71136765%22	http://localhost/swole/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.min.css?ver=3.32.3	C:/My%20Web%20Sites/swole/localhost/swole/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInDown.min8e60.css	(from http://localhost/swole/)
09:44:08	254/254	---M--	200	added ('OK')	text/css	etag:%22fe-641aa70916ff2%22	http://localhost/swole/wp-content/plugins/elementor/assets/css/widget-image.min.css?ver=3.32.3	C:/My%20Web%20Sites/swole/localhost/swole/wp-content/plugins/elementor/assets/css/widget-image.min8e60.css	(from http://localhost/swole/)
09:44:08	77/77	---M--	200	added ('OK')	text/css	etag:%224d-641aa7113731d%22	http://localhost/swole/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min.css?ver=3.32.3	C:/My%20Web%20Sites/swole/localhost/swole/wp-content/plugins/elementor/assets/lib/animations/styles/fadeIn.min8e60.css	(from http://localhost/swole/)
09:44:08	778/778	---M--	200	added ('OK')	text/css	etag:%2230a-641aa7334944e%22	http://localhost/swole/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.min.css?ver=3.32.2	C:/My%20Web%20Sites/swole/localhost/swole/wp-content/plugins/elementor-pro/assets/css/modules/motion-fx.min20c8.css	(from http://localhost/swole/)
09:44:09	10470/10470	---M--	200	added ('OK')	text/css	etag:%2228e6-641aa70915b43%22	http://localhost/swole/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css?ver=3.32.3	C:/My%20Web%20Sites/swole/localhost/swole/wp-content/plugins/elementor/assets/css/widget-icon-list.min8e60.css	(from http://localhost/swole/)
09:44:09	1281/1281	---M--	200	added ('OK')	text/css	etag:%22501-641aa7332ceaf%22	http://localhost/swole/wp-content/plugins/elementor-pro/assets/css/widget-countdown.min.css?ver=3.32.2	C:/My%20Web%20Sites/swole/localhost/swole/wp-content/plugins/elementor-pro/assets/css/widget-countdown.min20c8.css	(from http://localhost/swole/)
09:44:09	6798/6798	---M--	200	added ('OK')	text/css	etag:%221a8e-641aa7332dd7a%22	http://localhost/swole/wp-content/plugins/elementor-pro/assets/css/widget-form.min.css?ver=3.32.2	C:/My%20Web%20Sites/swole/localhost/swole/wp-content/plugins/elementor-pro/assets/css/widget-form.min20c8.css	(from http://localhost/swole/)
09:44:09	130/130	---M--	200	added ('OK')	text/css	etag:%2282-641aa711382be%22	http://localhost/swole/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min.css?ver=3.32.3	C:/My%20Web%20Sites/swole/localhost/swole/wp-content/plugins/elementor/assets/lib/animations/styles/fadeInUp.min8e60.css	(from http://localhost/swole/)
